#k, z, u, v, w, p, nu_t, uu, vv, ww, pp, uv, uw, vw, g11, g12, g13, g21, g22, g23, g31, g32, g33, u_rms, v_rms, w_rms, p_rms, Rxx, Rxy, Rxz, Ryy, Ryz, Rzz, tke
1, 8.295879e-04, 1.350618e-01, -2.028247e-04, 2.707197e-19, -1.761451e-01, 1.548476e-06, 2.067811e-02, 4.993169e-04, 6.000918e-08, 4.402660e+00, -3.246714e-05, -3.241087e-06, 3.956033e-09, -2.323301e-16, -4.119968e-18, 1.613859e+02, -3.271665e-20, -1.009663e-18, -2.426480e-01, 5.525566e-22, 6.670384e-21, 2.457073e-16, 4.916221e-02, 2.224858e-02, 2.431322e-04, 2.087032e+00, 2.425165e-03, -5.073321e-06, -3.226406e-06, 4.973181e-04, 3.999177e-09, 5.976718e-08, 1.461271e-03
2, 2.639493e-03, 4.291801e-01, -6.452670e-04, 5.454363e-19, -2.018573e-01, 5.567299e-06, 2.087912e-01, 4.661445e-03, 1.821016e-06, 4.407706e+00, -3.282443e-04, -6.032409e-05, 7.165173e-08, -7.381435e-16, -1.116728e-17, 1.610324e+02, -3.896352e-20, -2.629190e-18, -2.426709e-01, 4.096198e-21, 2.032879e-20, 7.396969e-17, 1.562003e-01, 6.798227e-02, 1.339562e-03, 2.085926e+00, 2.448209e-02, -5.131802e-05, -6.005201e-05, 4.642791e-03, 7.240540e-08, 1.813671e-06, 1.456335e-02
3, 4.777859e-03, 7.758711e-01, -1.167683e-03, 5.614770e-19, -2.313217e-01, 1.144114e-05, 6.823936e-01, 1.414346e-02, 1.543432e-05, 4.418859e+00, -1.073548e-03, -3.373759e-04, 3.941536e-07, -1.334483e-15, -2.493665e-17, 1.605903e+02, -1.198552e-19, -4.472334e-18, -2.424105e-01, 6.921847e-21, 7.453890e-20, 8.944668e-18, 2.824399e-01, 1.184224e-01, 3.900517e-03, 2.085548e+00, 8.004618e-02, -1.676432e-04, -3.358604e-04, 1.408687e-02, 3.980087e-07, 1.537206e-05, 4.707421e-02
4, 7.303384e-03, 1.184057e+00, -1.783706e-03, 5.772530e-19, -2.672112e-01, 1.974941e-05, 1.589405e+00, 3.032632e-02, 7.268199e-05, 4.440376e+00, -2.500828e-03, -1.193117e-03, 1.375099e-06, -2.038436e-15, -3.295975e-17, 1.599662e+02, -1.185846e-19, -8.294147e-18, -2.418046e-01, 1.315548e-20, 8.470329e-20, 1.203464e-17, 4.311747e-01, 1.734163e-01, 8.465826e-03, 2.086415e+00, 1.865484e-01, -3.890890e-04, -1.187780e-03, 3.020501e-02, 1.387273e-06, 7.238875e-05, 1.084129e-01
5, 1.028489e-02, 1.663751e+00, -2.508490e-03, 6.229927e-19, -3.110619e-01, 3.116881e-05, 3.138103e+00, 5.453669e-02, 2.490928e-04, 4.477632e+00, -4.934381e-03, -3.329767e-03, 3.794941e-06, -2.863486e-15, -5.724587e-17, 1.590169e+02, -2.185345e-19, -6.125742e-18, -2.405932e-01, 6.088049e-21, 2.710505e-19, 1.268517e-17, 6.058757e-01, 2.325695e-01, 1.567549e-02, 2.089245e+00, 3.683272e-01, -7.617248e-04, -3.314940e-03, 5.431852e-02, 3.824344e-06, 2.480875e-04, 2.114469e-01
6, 1.380293e-02, 2.225738e+00, -3.358166e-03, 6.886378e-19, -3.637267e-01, 4.649429e-05, 5.614636e+00, 8.785032e-02, 6.983573e-04, 4.536169e+00, -8.813162e-03, -8.019738e-03, 9.051159e-06, -3.831001e-15, -7.459311e-17, 1.574970e+02, -8.470329e-21, -1.100465e-17, -2.383903e-01, 5.421011e-20, 3.862470e-19, 1.593777e-17, 8.096454e-01, 2.951976e-01, 2.625257e-02, 2.094698e+00, 6.576753e-01, -1.341044e-03, -7.984180e-03, 8.749877e-02, 9.110256e-06, 6.955376e-04, 3.729348e-01
7, 1.795158e-02, 2.880745e+00, -4.348640e-03, 7.420009e-19, -4.249204e-01, 6.668208e-05, 9.397268e+00, 1.308637e-01, 1.699799e-03, 4.619302e+00, -1.470589e-02, -1.737675e-02, 1.941950e-05, -4.954926e-15, -7.632783e-17, 1.550185e+02, -4.099639e-19, -1.355253e-17, -2.346606e-01, 5.886879e-20, 5.692061e-19, 1.669671e-17, 1.044094e+00, 3.603200e-01, 4.096690e-02, 2.102936e+00, 1.093500e+00, -2.184084e-03, -1.730000e-02, 1.303397e-01, 1.952244e-05, 1.692931e-03, 6.127664e-01
8, 2.284046e-02, 3.637760e+00, -5.493425e-03, 7.453890e-19, -4.925707e-01, 9.294377e-05, 1.495560e+01, 1.835199e-01, 3.714889e-03, 4.725272e+00, -2.330311e-02, -3.454140e-02, 3.816355e-05, -6.257188e-15, -1.266348e-16, 1.510330e+02, 2.913793e-19, -1.821460e-17, -2.286971e-01, 1.861355e-19, 3.523657e-19, 2.471981e-17, 1.307495e+00, 4.267383e-01, 6.057851e-02, 2.113258e+00, 1.714337e+00, -3.331629e-03, -3.438932e-02, 1.827842e-01, 3.832340e-05, 3.699866e-03, 9.504104e-01
9, 2.859688e-02, 4.501203e+00, -6.799945e-03, 9.147956e-19, -5.625364e-01, 1.269455e-04, 2.281489e+01, 2.451268e-01, 7.442272e-03, 4.846307e+00, -3.536168e-02, -6.350606e-02, 6.917330e-05, -7.746977e-15, -1.630640e-16, 1.448803e+02, 9.859464e-19, -1.257675e-17, -2.195660e-01, 3.229313e-19, 1.273938e-18, 2.255141e-17, 1.592495e+00, 4.932400e-01, 8.576674e-02, 2.124300e+00, 2.542237e+00, -4.779139e-03, -6.322702e-02, 2.441425e-01, 6.940267e-05, 7.412135e-03, 1.396896e+00
10, 3.536819e-02, 5.467079e+00, -8.263186e-03, 1.077426e-18, -6.292637e-01, 1.711547e-04, 3.346382e+01, 3.146638e-01, 1.385596e-02, 4.971260e+00, -5.156434e-02, -1.082397e-01, 1.156762e-04, -9.409872e-15, -1.647987e-16, 1.359490e+02, 1.819427e-18, -1.105886e-17, -2.060286e-01, 5.675121e-19, 3.252607e-19, 2.515349e-17, 1.884402e+00, 5.588924e-01, 1.170609e-01, 2.134864e+00, 3.558280e+00, -6.437724e-03, -1.077646e-01, 3.133973e-01, 1.159988e-04, 1.379975e-02, 1.942738e+00
11, 4.332422e-02, 6.519140e+00, -9.855358e-03, 1.138412e-18, -6.874295e-01, 2.291824e-04, 4.720169e+01, 3.912303e-01, 2.421275e-02, 5.090695e+00, -7.225446e-02, -1.710246e-01, 1.776299e-04, -1.121729e-14, -2.168404e-16, 1.239445e+02, 3.398296e-18, -5.963112e-18, -1.866797e-01, 4.900086e-19, -5.421011e-19, -5.984796e-17, 2.161637e+00, 6.232465e-01, 1.547912e-01, 2.144773e+00, 4.680640e+00, -8.093262e-03, -1.702738e-01, 3.896512e-01, 1.781034e-04, 2.411431e-02, 2.547203e+00
12, 5.265970e-02, 7.627143e+00, -1.151339e-02, 1.565317e-18, -7.338105e-01, 3.054757e-04, 6.396565e+01, 4.741462e-01, 4.002039e-02, 5.201248e+00, -9.706961e-02, -2.505777e-01, 2.485485e-04, -1.311744e-14, -1.908196e-16, 1.091581e+02, 4.001384e-18, -1.376937e-17, -1.606245e-01, 1.036345e-18, 3.252607e-19, 9.714451e-17, 2.399407e+00, 6.861741e-01, 1.990650e-01, 2.155041e+00, 5.765359e+00, -9.398817e-03, -2.494773e-01, 4.722273e-01, 2.492592e-04, 3.985726e-02, 3.138722e+00
13, 6.359653e-02, 8.749447e+00, -1.313297e-02, 1.487390e-18, -7.686076e-01, 4.036839e-04, 8.322700e+01, 5.622350e-01, 6.295375e-02, 5.307023e+00, -1.246460e-01, -3.411757e-01, 3.143243e-04, -1.504715e-14, -2.775558e-16, 9.255402e+01, 2.154852e-18, -3.903128e-18, -1.284581e-01, 1.753358e-18, 2.710505e-18, 3.252607e-19, 2.575819e+00, 7.472533e-01, 2.497418e-01, 2.167286e+00, 6.643083e+00, -9.954943e-03, -3.396769e-01, 5.599561e-01, 3.152453e-04, 6.269645e-02, 3.632868e+00
14, 7.638577e-02, 9.840366e+00, -1.457916e-02, 1.605974e-18, -7.957335e-01, 5.243121e-04, 1.040446e+02, 6.526062e-01, 9.468281e-02, 5.416833e+00, -1.526742e-01, -4.337905e-01, 3.540062e-04, -1.693497e-14, -3.469447e-16, 7.555306e+01, 1.832979e-18, 5.095750e-18, -9.269333e-02, 2.443267e-18, 1.084202e-18, 5.854692e-18, 2.677686e+00, 8.051230e-01, 3.063628e-01, 2.182623e+00, 7.178320e+00, -9.502353e-03, -4.318846e-01, 6.499614e-01, 3.545623e-04, 9.429485e-02, 3.961288e+00
15, 9.130893e-02, 1.085967e+01, -1.571426e-02, 1.612751e-18, -8.216118e-01, 6.635114e-04, 1.252818e+02, 7.401982e-01, 1.365539e-01, 5.539098e+00, -1.784885e-01, -5.189153e-01, 3.450297e-04, -1.868595e-14, -3.191891e-16, 5.959398e+01, 4.607859e-18, -1.734723e-18, -5.690475e-02, 2.954451e-18, 5.421011e-18, -5.149960e-18, 2.703112e+00, 8.575033e-01, 3.680143e-01, 2.200798e+00, 7.315369e+00, -8.197322e-03, -5.166333e-01, 7.371984e-01, 3.433986e-04, 1.359931e-01, 4.094280e+00
