#k, z, Conve11, Conve12, Conve13, Conve22, Conve23, Conve33, Produ11, Produ12, Produ13, Produ22, Produ23, Produ33, Tdiff11, Tdiff12, Tdiff13, Tdiff22, Tdiff23, Tdiff33, Pdiff11, Pdiff12, Pdiff13, Pdiff22, Pdiff23, Pdiff33, Vdiff11, Vdiff12, Vdiff13, Vdiff22, Vdiff23, Vdiff33, Pstra11, Pstra12, Pstra13, Pstra22, Pstra23, Pstra33, Dissi11, Dissi12, Dissi13, Dissi22, Dissi23, Dissi33, B11, B12, B13, B22, B23, B33
1, 8.295879e-04, -4.260027e-06, -6.498382e-09, 3.679944e-08, 9.740368e-08, -8.503065e-11, -2.568041e-11, 1.045280e-03, -1.394489e-06, -9.673768e-06, -1.419479e-07, 1.430602e-08, -1.588165e-11, 1.067156e-03, -2.986984e-06, -9.087035e-06, -3.165142e-05, -1.982306e-08, 6.004551e-09, 1.468755e-18, 3.821813e-18, -3.226723e+00, 3.774379e-18, -3.257273e-02, 5.081759e-01, 3.099941e+01, -6.504301e-02, -9.209629e-02, 5.658022e+00, 1.106614e-04, 3.003729e-03, 4.766988e-02, -4.540988e-06, 5.467133e+00, 2.368201e-01, 4.953204e-02, -5.141449e-01, 3.870408e+01, -7.195660e-02, -8.905871e-02, 6.372356e+00, -1.134619e-05, 2.557127e-03, -7.654891e+00, 6.904671e-03, 2.237354e+00, -4.775456e-01, 1.708132e-02, -5.522325e-03
2, 2.639493e-03, -9.143927e-05, -1.291898e-07, 1.130780e-06, 1.856276e-06, -3.265478e-09, -1.206608e-09, 1.942494e-02, -2.536164e-05, -2.930460e-04, -3.471623e-06, 4.337062e-07, -1.112727e-09, 2.286275e-02, -6.295773e-05, -2.787023e-04, -6.262814e-04, -2.753745e-07, 2.765627e-07, 3.028990e-18, 4.445229e-18, -2.070307e+00, 1.002887e-17, -4.507798e-02, 9.038605e-01, 3.913539e+01, -8.182505e-02, -2.767882e-01, 6.030336e+00, 3.246861e-04, 1.523574e-02, 1.155681e-01, -1.276245e-04, 4.032086e+00, 6.622256e-01, 4.179864e-02, -9.290561e-01, 3.868983e+01, -7.493056e-02, -1.899227e-01, 5.666427e+00, 1.742459e-04, 9.810120e-03, 6.034997e-01, -7.110312e-03, 1.874341e+00, 1.025503e+00, -3.128738e-03, -1.976972e-02
3, 4.777859e-03, -5.129271e-04, -6.707001e-07, 9.494765e-06, 1.053606e-05, -3.233573e-08, -1.775204e-08, 1.083475e-01, -1.405691e-04, -2.477071e-03, -1.958067e-05, 3.678251e-06, -1.022963e-08, 1.280868e-01, -3.374794e-04, -2.337028e-03, -3.503379e-03, 2.033357e-07, 4.047308e-06, 2.263272e-18, 1.908196e-17, 1.312799e+00, 1.536857e-17, -4.852497e-02, 1.326334e+00, 3.890495e+01, -8.000254e-02, -5.007829e-01, 4.724557e+00, 5.755141e-04, 3.902481e-02, 1.537093e-01, -3.794528e-04, 2.169245e+00, 1.047264e+00, 4.230827e-02, -1.393354e+00, 3.872226e+01, -7.448853e-02, -3.434792e-01, 4.964916e+00, 3.062798e-04, 2.682396e-02, 5.733466e-01, -6.370840e-03, 3.319917e+00, 8.033711e-01, -5.943554e-03, -5.481528e-02
4, 7.303384e-03, -1.776158e-03, -2.318665e-06, 4.487946e-05, 3.670971e-05, -1.716592e-07, -1.418297e-07, 3.816592e-01, -4.935457e-04, -1.161993e-02, -6.602758e-05, 1.730525e-05, -3.964498e-08, 4.429918e-01, -1.103695e-03, -1.103067e-02, -1.199649e-02, 1.139133e-05, 3.242375e-05, 3.889575e-18, 2.710505e-17, 5.554190e+00, 1.984090e-17, -5.228704e-02, 1.576875e+00, 3.832172e+01, -7.603747e-02, -7.667719e-01, 3.476962e+00, 8.677752e-04, 7.411000e-02, 1.526746e-01, -7.597591e-04, -2.536310e-01, 1.360130e+00, 4.241756e-02, -1.718329e+00, 3.876062e+01, -7.336180e-02, -5.312184e-01, 4.280761e+00, 4.694212e-04, 5.294749e-02, 5.401999e-01, -5.030360e-03, 5.042310e+00, 5.442326e-01, -9.442265e-03, -1.202594e-01
5, 1.028489e-02, -4.740991e-03, -7.026519e-06, 1.537440e-04, 9.707185e-05, -6.346901e-07, -7.737799e-07, 1.058668e+00, -1.366335e-03, -3.958763e-02, -1.685953e-04, 5.907807e-05, -4.468840e-08, 1.181100e+00, -2.749131e-03, -3.772568e-02, -3.126359e-02, 6.793390e-05, 1.779362e-04, -2.087089e-18, 3.512815e-17, 1.037875e+01, 2.650874e-17, -5.562439e-02, 1.614191e+00, 3.682625e+01, -6.868971e-02, -1.062290e+00, 2.325644e+00, 1.185711e-03, 1.181372e-01, 1.059665e-01, -1.254998e-03, -3.228320e+00, 1.566904e+00, 4.203693e-02, -1.858364e+00, 3.867471e+01, -7.113208e-02, -7.516502e-01, 3.630129e+00, 6.677209e-04, 8.779381e-02, 5.020148e-01, -2.921067e-03, 6.762325e+00, 2.308890e-01, -1.294183e-02, -2.136512e-01
6, 1.380293e-02, -1.053598e-02, -2.058675e-05, 4.228248e-04, 2.124905e-04, -1.833507e-06, -3.233849e-06, 2.524760e+00, -3.253819e-03, -1.099222e-01, -3.566468e-04, 1.642069e-04, 3.421896e-07, 2.622679e+00, -5.620917e-03, -1.035621e-01, -6.765791e-02, 2.449402e-04, 7.491000e-04, -5.475221e-18, 2.818926e-17, 1.497305e+01, 5.421011e-18, -5.715770e-02, 1.451881e+00, 3.354974e+01, -5.669256e-02, -1.350967e+00, 1.316664e+00, 1.481790e-03, 1.665795e-01, 1.193515e-02, -1.854196e-03, -6.551776e+00, 1.642931e+00, 4.093744e-02, -1.788614e+00, 3.823878e+01, -6.727118e-02, -9.916464e-01, 3.040336e+00, 8.925693e-04, 1.299197e-01, 4.808677e-01, -1.297254e-04, 7.848045e+00, -1.489678e-01, -1.522006e-02, -2.993213e-01
7, 1.795158e-02, -1.993953e-02, -5.825988e-05, 9.735807e-04, 4.014374e-04, -4.410198e-06, -1.102774e-05, 5.382201e+00, -6.926217e-03, -2.632994e-01, -6.503660e-04, 3.934126e-04, 2.508180e-06, 4.963519e+00, -9.630402e-03, -2.379781e-01, -1.266276e-01, 6.543857e-04, 2.575916e-03, -2.363561e-17, 1.864828e-17, 1.796952e+01, -2.602085e-18, -5.534056e-02, 1.196349e+00, 2.747426e+01, -3.946976e-02, -1.565616e+00, 5.019915e-01, 1.672997e-03, 2.130395e-01, -1.265628e-01, -2.567051e-03, -9.755037e+00, 1.592163e+00, 3.887476e-02, -1.527877e+00, 3.715951e+01, -6.130305e-02, -1.220877e+00, 2.553678e+00, 1.116069e-03, 1.770468e-01, 5.538528e-01, 2.767884e-03, 7.367494e+00, -5.872024e-01, -1.485667e-02, -2.929459e-01
8, 2.284046e-02, -3.195831e-02, -1.521301e-04, 1.901739e-03, 6.683151e-04, -9.232271e-06, -3.189003e-05, 1.041774e+01, -1.338330e-02, -5.604747e-01, -1.039376e-03, 8.375302e-04, 1.018235e-05, 7.968339e+00, -1.373815e-02, -4.637902e-01, -2.087735e-01, 1.407031e-03, 7.520861e-03, -6.011901e-17, 3.903128e-17, 1.788092e+01, -3.729655e-17, -4.944409e-02, 1.034533e+00, 1.797861e+01, -1.786971e-02, -1.617310e+00, -7.287892e-02, 1.659023e-03, 2.503615e-01, -3.065265e-01, -3.390218e-03, -1.214782e+01, 1.466672e+00, 3.585127e-02, -1.151313e+00, 3.521789e+01, -5.303569e-02, -1.392381e+00, 2.223080e+00, 1.290065e-03, 2.269153e-01, 8.722200e-01, 4.806446e-03, 4.482002e+00, -1.039768e+00, -1.097006e-02, -8.577056e-02
9, 2.859688e-02, -4.221171e-02, -3.485415e-04, 3.143665e-03, 9.902577e-04, -1.724249e-05, -8.033629e-05, 1.836057e+01, -2.353856e-02, -1.076597e+00, -1.459727e-03, 1.609652e-03, 3.140862e-05, 1.057718e+01, -1.574218e-02, -7.644234e-01, -3.047246e-01, 2.553152e-03, 1.915710e-02, -7.903834e-17, 1.110223e-16, 1.396593e+01, -2.363561e-17, -3.992812e-02, 1.135457e+00, 5.685971e+00, 5.952969e-03, -1.431356e+00, -3.938795e-01, 1.352846e-03, 2.724902e-01, -5.320145e-01, -4.122390e-03, -1.306632e+01, 1.366508e+00, 3.220647e-02, -7.714066e-01, 3.250962e+01, -4.270176e-02, -1.455517e+00, 2.094013e+00, 1.355350e-03, 2.788313e-01, 1.624299e+00, 5.600137e-03, -9.203911e-01, -1.428559e+00, -3.544108e-03, 3.769785e-01
10, 3.536819e-02, -4.316207e-02, -6.716614e-04, 4.338014e-03, 1.312868e-03, -2.806459e-05, -1.798453e-04, 2.934246e+01, -3.746740e-02, -1.879721e+00, -1.788459e-03, 2.809452e-03, 8.103517e-05, 1.096326e+01, -1.265131e-02, -1.050271e+00, -3.921117e-01, 4.003894e-03, 4.340009e-02, -1.271227e-16, 1.994932e-16, 6.933397e+00, -4.271757e-17, -2.925077e-02, 1.519439e+00, -7.028919e+00, 2.884028e-02, -1.001257e+00, -5.033469e-01, 7.227073e-04, 2.763517e-01, -8.179066e-01, -4.412052e-03, -1.223221e+01, 1.403365e+00, 2.819580e-02, -4.855284e-01, 2.958620e+01, -3.110302e-02, -1.380366e+00, 2.176750e+00, 1.264623e-03, 3.352846e-01, 2.915852e+00, 6.084188e-03, -7.854039e+00, -1.671945e+00, 5.244526e-03, 1.018639e+00
