#k, z, u, v, w, p, uu, vv, ww, pp, uv, uw, vw, g11, g12, g13, g21, g22, g23, g31, g32, g33, u_rms, v_rms, w_rms, p_rms, Rxx, Rxy, Rxz, Ryy, Ryz, Rzz, tke
1, 8.295879e-04, 1.493989e-01, -7.525064e-06, 2.980100e-19, 6.720126e-02, 2.562153e-02, 6.782529e-04, 1.411304e-07, 2.059982e+00, 3.021078e-07, -6.691565e-06, 6.415410e-11, -2.564265e-16, -1.368805e-18, 1.785317e+02, 1.275843e-20, -6.945670e-19, -6.564934e-03, 2.600656e-21, 1.662302e-20, 2.718061e-16, 5.731760e-02, 2.598847e-02, 3.729894e-04, 1.432317e+00, 3.294314e-03, 1.440175e-06, -6.678492e-06, 6.770294e-04, 7.238574e-11, 1.408786e-07, 1.985742e-03
2, 2.639493e-03, 4.747913e-01, -2.394930e-05, 6.046889e-19, 6.719853e-02, 2.587595e-01, 6.285046e-03, 4.236722e-06, 2.057707e+00, 2.123339e-06, -1.236127e-04, 1.284601e-09, -8.148948e-16, -4.228388e-18, 1.781649e+02, 1.488660e-19, -1.853308e-18, -6.838455e-03, 1.158715e-20, 7.623297e-20, 8.303633e-17, 1.821209e-01, 7.911372e-02, 2.043728e-03, 1.431527e+00, 3.326006e-02, 1.362328e-05, -1.233717e-04, 6.273706e-03, 1.410507e-09, 4.229163e-06, 1.976900e-02
3, 4.777859e-03, 8.583811e-01, -4.338328e-05, 6.183870e-19, 6.717768e-02, 8.457957e-01, 1.893814e-02, 3.550529e-05, 2.055881e+00, 4.085244e-06, -6.856524e-04, 1.038799e-08, -1.473122e-15, -7.480995e-18, 1.776641e+02, 2.627920e-19, -2.968003e-18, -6.925816e-03, 2.789915e-20, 2.015938e-19, 1.093689e-17, 3.292996e-01, 1.373343e-01, 5.916703e-03, 1.430893e+00, 1.087401e-01, 4.170979e-05, -6.843179e-04, 1.890396e-02, 1.085884e-08, 3.544192e-05, 6.383974e-02
4, 7.303384e-03, 1.309922e+00, -6.640039e-05, 6.487743e-19, 6.709131e-02, 1.969593e+00, 4.029379e-02, 1.650543e-04, 2.054874e+00, 2.135073e-06, -2.398275e-03, 5.389816e-08, -2.249611e-15, -1.203464e-17, 1.768715e+02, 2.824855e-19, -4.363914e-18, -7.039171e-03, 6.268044e-20, 3.879411e-19, 1.367450e-17, 5.024466e-01, 2.003294e-01, 1.275827e-02, 1.430546e+00, 2.531450e-01, 8.990608e-05, -2.393615e-03, 4.022102e-02, 5.454145e-08, 1.647595e-04, 1.467654e-01
5, 1.028489e-02, 1.840087e+00, -9.367332e-05, 6.947788e-19, 6.682998e-02, 3.885027e+00, 7.181506e-02, 5.570148e-04, 2.055196e+00, -1.212800e-05, -6.587087e-03, 2.124166e-07, -3.161676e-15, -1.951564e-17, 1.755289e+02, 7.708000e-19, -6.952446e-18, -7.169139e-03, 1.374840e-19, 6.640738e-19, 2.005774e-17, 7.047816e-01, 2.674560e-01, 2.344245e-02, 1.430670e+00, 4.980171e-01, 1.615393e-04, -6.574304e-03, 7.168528e-02, 2.107959e-07, 5.560193e-04, 2.851292e-01
6, 1.380293e-02, 2.459762e+00, -1.259256e-04, 7.614826e-19, 6.617950e-02, 6.934191e+00, 1.144814e-01, 1.532663e-03, 2.057521e+00, -5.389523e-05, -1.549864e-02, 6.820268e-07, -4.223496e-15, -2.125036e-17, 1.732139e+02, 1.592422e-18, -4.607859e-18, -7.277976e-03, 2.989497e-19, 9.825582e-19, 2.089800e-17, 9.379394e-01, 3.377027e-01, 3.890044e-02, 1.431509e+00, 8.818307e-01, 2.575888e-04, -1.546858e-02, 1.142743e-01, 6.688602e-07, 1.529920e-03, 4.988174e-01
7, 1.795158e-02, 3.178520e+00, -1.637463e-04, 8.521151e-19, 6.476998e-02, 1.154925e+01, 1.685025e-01, 3.646800e-03, 2.062694e+00, -1.469746e-04, -3.249758e-02, 1.857478e-06, -5.452710e-15, -2.081668e-17, 1.693142e+02, 1.971893e-18, -7.724940e-18, -7.272975e-03, 5.897996e-19, 2.059984e-18, 2.439455e-17, 1.200047e+00, 4.097280e-01, 6.003776e-02, 1.433371e+00, 1.443092e+00, 3.752001e-04, -3.243451e-02, 1.681972e-01, 1.808088e-06, 3.640264e-03, 8.074646e-01
8, 2.284046e-02, 4.001992e+00, -2.071081e-04, 9.838288e-19, 6.202868e-02, 1.822523e+01, 2.332020e-01, 7.758480e-03, 2.071712e+00, -3.213057e-04, -6.185945e-02, 4.425143e-06, -6.867662e-15, -1.084202e-17, 1.630760e+02, 2.381857e-18, -4.933120e-18, -6.972639e-03, 1.028510e-18, 2.019327e-18, 2.211772e-17, 1.483466e+00, 4.820426e-01, 8.762902e-02, 1.436620e+00, 2.204417e+00, 5.080096e-04, -6.173912e-02, 2.327785e-01, 4.287981e-06, 7.744546e-03, 1.222470e+00
9, 2.859688e-02, 4.928180e+00, -2.543327e-04, 1.029145e-18, 5.715408e-02, 2.744273e+01, 3.072561e-01, 1.506992e-02, 2.085628e+00, -5.996222e-04, -1.078170e-01, 9.456598e-06, -8.450272e-15, -4.076600e-17, 1.537758e+02, 2.561428e-18, -7.155734e-18, -6.079441e-03, 1.350276e-18, 2.331035e-18, 2.130457e-17, 1.773281e+00, 5.533447e-01, 1.222148e-01, 1.441636e+00, 3.148753e+00, 6.507141e-04, -1.076064e-01, 3.066963e-01, 9.145608e-06, 1.504278e-02, 1.735246e+00
10, 3.536819e-02, 5.943619e+00, -3.002129e-04, 1.250221e-18, 4.912691e-02, 3.953482e+01, 3.892720e-01, 2.710993e-02, 2.105403e+00, -9.686090e-04, -1.728131e-01, 1.835374e-05, -1.018432e-14, -4.423545e-17, 1.410111e+02, 3.452506e-18, -3.713392e-18, -4.201894e-03, 1.965752e-18, 4.662069e-18, 1.165517e-17, 2.048023e+00, 6.228677e-01, 1.640304e-01, 1.448744e+00, 4.198746e+00, 8.055174e-04, -1.724732e-01, 3.885599e-01, 1.776135e-05, 2.706093e-02, 2.307184e+00
11, 4.332422e-02, 7.021245e+00, -3.334099e-04, 1.255303e-18, 3.676451e-02, 5.452800e+01, 4.782642e-01, 4.565237e-02, 2.131725e+00, -1.330956e-03, -2.555688e-01, 3.199692e-05, -1.203524e-14, -3.816392e-17, 1.250021e+02, 4.221612e-18, -4.011548e-18, -1.001336e-03, 1.752088e-18, 3.252607e-18, -7.518942e-17, 2.283421e+00, 6.904359e-01, 2.129818e-01, 1.458128e+00, 5.218194e+00, 9.876674e-04, -2.550613e-01, 4.773854e-01, 3.106242e-05, 4.556946e-02, 2.870574e+00
12, 5.265970e-02, 8.122105e+00, -3.346160e-04, 1.443344e-18, 1.881829e-02, 7.203017e+01, 5.733536e-01, 7.256992e-02, 2.164845e+00, -1.449008e-03, -3.501584e-01, 4.898141e-05, -1.391113e-14, -1.821460e-17, 1.067187e+02, 5.715778e-18, 6.505213e-19, 3.493662e-03, 1.904130e-18, 3.740497e-18, 5.551115e-17, 2.458379e+00, 7.559935e-01, 2.686517e-01, 1.469737e+00, 6.047529e+00, 1.228634e-03, -3.494540e-01, 5.722955e-01, 4.786623e-05, 7.243745e-02, 3.346131e+00
13, 6.359653e-02, 9.201710e+00, -2.790153e-04, 1.057097e-18, -5.877929e-03, 9.124757e+01, 6.725612e-01, 1.096116e-01, 2.204390e+00, -9.607152e-04, -4.471176e-01, 6.490516e-05, -1.577487e-14, -1.214306e-17, 8.769376e+01, 7.853689e-18, 6.288373e-18, 8.535347e-03, 2.242096e-18, 5.963112e-18, -2.168404e-19, 2.560648e+00, 8.188198e-01, 3.302876e-01, 1.483188e+00, 6.560589e+00, 1.543939e-03, -4.462031e-01, 6.713164e-01, 6.428643e-05, 1.094105e-01, 3.670658e+00
14, 7.638577e-02, 1.021913e+01, -1.466983e-04, 1.477225e-18, -3.818644e-02, 1.111548e+02, 7.716705e-01, 1.580705e-01, 2.249068e+00, 4.199306e-04, -5.363610e-01, 7.336362e-05, -1.752889e-14, -4.163336e-17, 6.957094e+01, 7.741881e-18, 3.903128e-18, 1.284384e-02, 1.461979e-18, 6.559423e-18, 7.589415e-18, 2.589315e+00, 8.771065e-01, 3.967391e-01, 1.497649e+00, 6.708146e+00, 1.832155e-03, -5.352412e-01, 7.702413e-01, 7.471891e-05, 1.577791e-01, 3.818083e+00
15, 9.130893e-02, 1.114489e+01, 6.649139e-05, 1.463673e-18, -7.836139e-02, 1.307468e+02, 8.645166e-01, 2.183276e-01, 2.296295e+00, 2.749398e-03, -6.102423e-01, 6.836546e-05, -1.913465e-14, 1.127570e-17, 5.362700e+01, 3.821813e-18, 6.613633e-18, 1.545221e-02, 2.107418e-18, 6.776264e-18, 1.778092e-17, 2.553162e+00, 9.283990e-01, 4.663600e-01, 1.511741e+00, 6.522280e+00, 1.898587e-03, -6.089386e-01, 8.629183e-01, 7.382036e-05, 2.179233e-01, 3.801561e+00
