#k, z, Conve11, Conve12, Conve13, Conve22, Conve23, Conve33, Produ11, Produ12, Produ13, Produ22, Produ23, Produ33, Tdiff11, Tdiff12, Tdiff13, Tdiff22, Tdiff23, Tdiff33, Pdiff11, Pdiff12, Pdiff13, Pdiff22, Pdiff23, Pdiff33, Vdiff11, Vdiff12, Vdiff13, Vdiff22, Vdiff23, Vdiff33, Pstra11, Pstra12, Pstra13, Pstra22, Pstra23, Pstra33, Dissi11, Dissi12, Dissi13, Dissi22, Dissi23, Dissi33, B11, B12, B13, B22, B23, B33
1, 8.295879e-04, -3.217760e-06, -3.382719e-09, 2.819926e-08, 8.247329e-08, -4.594374e-10, -1.961754e-11, 1.032438e-03, 1.464705e-07, -9.639314e-06, -9.111722e-08, -1.033434e-10, -7.856578e-12, 1.059609e-03, -3.940784e-06, -9.170819e-06, -3.141473e-05, 1.503990e-07, 6.061848e-09, -2.769798e-19, 7.860466e-19, -3.199518e+00, 4.906015e-18, -4.301484e-02, 5.073601e-01, 3.074379e+01, -2.042832e-02, -9.120776e-02, 5.650485e+00, -3.227764e-05, 2.999378e-03, 4.744992e-02, -2.525291e-04, 5.422746e+00, 2.365638e-01, 6.337292e-02, -5.132948e-01, 3.838456e+01, -1.948305e-02, -8.818807e-02, 6.363078e+00, -1.312306e-04, 2.553477e-03, -7.591228e+00, -1.201596e-03, 2.220190e+00, -4.760613e-01, 2.045719e-02, -5.488795e-03
2, 2.639493e-03, -6.897482e-05, -8.666391e-08, 8.663886e-07, 1.602530e-06, -1.367586e-08, -9.230288e-10, 1.918977e-02, 2.624155e-06, -2.919653e-04, -2.188781e-06, -1.973774e-09, -5.328205e-10, 2.270682e-02, -7.886060e-05, -2.812104e-04, -6.210258e-04, 4.300654e-06, 2.866683e-07, -3.862470e-19, 2.873136e-18, -2.051288e+00, 1.432502e-17, -6.104033e-02, 9.024547e-01, 3.881270e+01, -2.414233e-02, -2.742040e-01, 6.022016e+00, -8.412103e-05, 1.521240e-02, 1.148145e-01, -1.007216e-03, 3.998346e+00, 6.615819e-01, 5.599494e-02, -9.275100e-01, 3.836973e+01, -2.128358e-02, -1.881471e-01, 5.658266e+00, -7.403431e-05, 9.795535e-03, 5.997476e-01, -3.942117e-03, 1.860427e+00, 1.024707e+00, -5.051170e-03, -1.963809e-02
3, 4.777859e-03, -3.869133e-04, -5.235107e-07, 7.274141e-06, 9.059587e-06, -1.076062e-07, -1.336051e-08, 1.070588e-01, 1.367049e-05, -2.467740e-03, -1.243882e-05, -2.075515e-08, -3.605229e-09, 1.272429e-01, -4.144050e-04, -2.355990e-03, -3.476200e-03, 3.289371e-05, 4.257888e-06, -3.022214e-18, 1.301043e-18, 1.305605e+00, 2.455718e-17, -6.687549e-02, 1.324389e+00, 3.858499e+01, -2.099557e-02, -4.962776e-01, 4.717660e+00, -1.171028e-04, 3.895959e-02, 1.522166e-01, -2.211985e-03, 2.149583e+00, 1.046417e+00, 5.829825e-02, -1.391019e+00, 3.840281e+01, -1.981749e-02, -3.403961e-01, 4.957813e+00, -1.285258e-04, 2.678189e-02, 5.690915e-01, -3.790273e-03, 3.294476e+00, 8.027663e-01, -8.532841e-03, -5.444811e-02
4, 7.303384e-03, -1.339870e-03, -2.002698e-06, 3.437771e-05, 3.134970e-05, -4.673346e-07, -1.049352e-07, 3.772068e-01, 4.338340e-05, -1.157501e-02, -4.225425e-05, -1.162775e-07, -2.001760e-09, 4.401110e-01, -1.322340e-03, -1.110597e-02, -1.190825e-02, 1.389324e-04, 3.428084e-05, -1.985445e-18, -5.204170e-18, 5.512316e+00, 2.656295e-17, -7.238750e-02, 1.574930e+00, 3.801005e+01, -1.593842e-02, -7.600876e-01, 3.471405e+00, -1.098575e-04, 7.397019e-02, 1.501308e-01, -4.065597e-03, -2.536787e-01, 1.359401e+00, 6.015076e-02, -1.715452e+00, 3.844308e+01, -1.761573e-02, -5.266261e-01, 4.274713e+00, -1.735113e-04, 5.285787e-02, 5.357593e-01, -3.665232e-03, 5.002460e+00, 5.441116e-01, -1.203380e-02, -1.193748e-01
5, 1.028489e-02, -3.575626e-03, -6.227193e-06, 1.177383e-04, 8.230547e-05, -1.443816e-06, -5.650395e-07, 1.046573e+00, 1.030563e-04, -3.942998e-02, -1.084542e-04, -4.743694e-07, 9.671882e-08, 1.173323e+00, -3.163579e-03, -3.792063e-02, -3.103617e-02, 4.173470e-04, 1.879437e-04, 2.710505e-20, 1.517883e-17, 1.029586e+01, 5.231275e-17, -7.621688e-02, 1.613090e+00, 3.653617e+01, -8.407971e-03, -1.053256e+00, 2.321385e+00, -5.667210e-05, 1.178767e-01, 1.019142e-01, -6.811929e-03, -3.202087e+00, 1.566834e+00, 6.117846e-02, -1.855365e+00, 3.836258e+01, -1.457623e-02, -7.453636e-01, 3.625174e+00, -2.012968e-04, 8.762932e-02, 4.989716e-01, -3.697966e-03, 6.708411e+00, 2.318175e-01, -1.447548e-02, -2.118388e-01
6, 1.380293e-02, -7.939295e-03, -1.687944e-05, 3.237074e-04, 1.788552e-04, -3.513313e-06, -2.342148e-06, 2.496595e+00, 2.025414e-04, -1.094707e-01, -2.302268e-04, -1.635433e-06, 7.423727e-07, 2.604959e+00, -6.043375e-03, -1.038968e-01, -6.715895e-02, 9.887410e-04, 7.874679e-04, 8.131516e-20, 1.105886e-17, 1.485230e+01, 6.613633e-17, -7.670897e-02, 1.452305e+00, 3.330706e+01, 1.465717e-03, -1.339766e+00, 1.313718e+00, 1.261782e-05, 1.661367e-01, 5.749496e-03, -1.069988e-02, -6.493229e+00, 1.644316e+00, 6.090882e-02, -1.786021e+00, 3.793940e+01, -1.096289e-02, -9.836177e-01, 3.036585e+00, -2.213681e-04, 1.296439e-01, 4.828991e-01, -4.095223e-03, 7.789231e+00, -1.461190e-01, -1.457554e-02, -2.964321e-01
7, 1.795158e-02, -1.499274e-02, -3.910051e-05, 7.451966e-04, 3.351804e-04, -7.016476e-06, -7.966525e-06, 5.323973e+00, 3.602806e-04, -2.621892e-01, -4.212216e-04, -5.115618e-06, 3.435012e-06, 4.929547e+00, -9.238476e-03, -2.382767e-01, -1.256874e-01, 1.927491e-03, 2.688791e-03, -1.048966e-17, 6.982262e-17, 1.782888e+01, 7.974307e-17, -7.304092e-02, 1.197557e+00, 2.731790e+01, 1.194505e-02, -1.553212e+00, 5.003697e-01, 2.858119e-05, 2.123428e-01, -1.356482e-01, -1.586989e-02, -9.661351e+00, 1.595875e+00, 5.912229e-02, -1.525880e+00, 3.688459e+01, -7.766183e-03, -1.211423e+00, 2.551312e+00, -2.722732e-04, 1.766160e-01, 5.661816e-01, -4.997748e-03, 7.324526e+00, -5.815111e-01, -1.168839e-02, -2.898961e-01
8, 2.284046e-02, -2.391008e-02, -7.175786e-05, 1.455516e-03, 5.520037e-04, -1.166586e-05, -2.313623e-05, 1.030990e+01, 6.444698e-04, -5.580758e-01, -6.769444e-04, -1.467518e-05, 1.208384e-05, 7.915194e+00, -1.087110e-02, -4.635818e-01, -2.072819e-01, 3.127450e-03, 7.787664e-03, -2.780979e-17, 4.813858e-17, 1.774609e+01, 9.920450e-17, -6.625105e-02, 1.033321e+00, 1.794897e+01, 1.931604e-02, -1.605719e+00, -7.323779e-02, -8.289590e-05, 2.493474e-01, -3.193380e-01, -2.214297e-02, -1.201911e+01, 1.473180e+00, 5.612076e-02, -1.149075e+00, 3.498038e+01, -6.814530e-03, -1.382399e+00, 2.222299e+00, -4.193025e-04, 2.262888e-01, 8.982574e-01, -6.167275e-03, 4.480548e+00, -1.030867e+00, -6.669443e-03, -8.487176e-02
9, 2.859688e-02, -3.120844e-02, -8.983466e-05, 2.405269e-03, 8.025498e-04, -1.625212e-05, -5.899675e-05, 1.818292e+01, 1.227230e-03, -1.072010e+00, -9.614024e-04, -3.719658e-05, 3.513272e-05, 1.051148e+01, -8.894538e-03, -7.631654e-01, -3.028298e-01, 4.184907e-03, 1.968279e-02, -4.269046e-17, 3.686287e-17, 1.385259e+01, 1.041918e-16, -5.850109e-02, 1.127274e+00, 5.801003e+00, 1.957970e-02, -1.423206e+00, -3.929572e-01, -3.426427e-04, 2.711295e-01, -5.493216e-01, -2.888837e-02, -1.290124e+01, 1.375394e+00, 5.233592e-02, -7.668436e-01, 3.231700e+01, -9.991802e-03, -1.446434e+00, 2.095021e+00, -7.282076e-04, 2.779793e-01, 1.660292e+00, -6.894348e-03, -8.630013e-01, -1.417178e+00, -1.615640e-03, 3.733579e-01
10, 3.536819e-02, -3.091686e-02, -4.046701e-05, 3.310888e-03, 1.022691e-03, -1.901747e-05, -1.346124e-04, 2.908640e+01, 2.346808e-03, -1.871967e+00, -1.203017e-03, -7.714141e-05, 8.807426e-05, 1.089956e+01, -3.486297e-03, -1.047722e+00, -3.904793e-01, 4.447346e-03, 4.428383e-02, -1.967827e-17, 7.199102e-17, 6.841962e+00, 1.038666e-16, -5.038592e-02, 1.501258e+00, -6.791214e+00, 1.192798e-02, -9.985534e-01, -5.004325e-01, -6.949652e-04, 2.746607e-01, -8.403238e-01, -3.529913e-02, -1.202761e+01, 1.413339e+00, 4.687300e-02, -4.761750e-01, 2.943678e+01, -1.753043e-02, -1.373668e+00, 2.179890e+00, -1.239944e-03, 3.341885e-01, 2.948569e+00, -6.939751e-03, -7.733536e+00, -1.659688e+00, 1.421279e-03, 1.010061e+00
