#k, z, u, v, w, p, uu, vv, ww, pp, uv, uw, vw, g11, g12, g13, g21, g22, g23, g31, g32, g33, u_rms, v_rms, w_rms, p_rms, Rxx, Rxy, Rxz, Ryy, Ryz, Rzz, tke
1, 8.295879e-04, 1.493533e-01, 4.461357e-07, 1.140473e-18, -2.305840e-02, 2.560350e-02, 6.774795e-04, 1.404385e-07, 4.549733e+00, -1.041259e-06, -6.675147e-06, 1.524362e-09, -2.565290e-16, 1.294266e-18, 1.784766e+02, -4.076346e-20, 2.261578e-19, -7.023320e-04, -6.650532e-21, -1.768181e-20, 1.031007e-15, 5.736468e-02, 2.600696e-02, 3.736250e-04, 2.132017e+00, 3.294333e-03, -1.105367e-06, -6.669886e-06, 6.769912e-04, 1.525325e-09, 1.403375e-07, 1.985732e-03
2, 2.639493e-03, 4.746464e-01, 1.426914e-06, 2.281093e-18, -2.306248e-02, 2.585772e-01, 6.278375e-03, 4.216559e-06, 4.544630e+00, -9.900202e-06, -1.233190e-04, 2.734850e-08, -8.152760e-16, 2.100642e-18, 1.781100e+02, -9.042077e-20, 6.352747e-19, -5.013454e-04, -2.820686e-20, -6.691560e-20, 2.901461e-16, 1.822723e-01, 7.917172e-02, 2.047272e-03, 2.130822e+00, 3.326024e-02, -1.055628e-05, -1.232221e-04, 6.273849e-03, 2.735949e-08, 4.213525e-06, 1.976915e-02
3, 4.777859e-03, 8.581185e-01, 2.630870e-06, 2.278479e-18, -2.309361e-02, 8.451988e-01, 1.891944e-02, 3.534207e-05, 4.540537e+00, -3.047358e-05, -6.840987e-04, 1.403385e-07, -1.474068e-15, 5.204170e-18, 1.776092e+02, -2.867207e-19, 9.215718e-19, -4.262316e-04, -6.622739e-20, -1.888883e-19, -2.974780e-18, 3.295744e-01, 1.374376e-01, 5.927178e-03, 2.129863e+00, 1.087407e-01, -3.267454e-05, -6.835620e-04, 1.890580e-02, 1.403464e-07, 3.531661e-05, 6.384092e-02
4, 7.303384e-03, 1.309520e+00, 4.198263e-06, 2.271478e-18, -2.322259e-02, 1.968204e+00, 4.025730e-02, 1.643303e-04, 4.538305e+00, -6.602588e-05, -2.393245e-03, 4.365741e-07, -2.250099e-15, 1.235990e-17, 1.768168e+02, -3.405072e-19, 2.171792e-18, -2.929979e-04, -1.274388e-19, -3.997996e-19, -1.721171e-18, 5.028630e-01, 2.004839e-01, 1.278135e-02, 2.129338e+00, 2.531494e-01, -7.142295e-05, -2.391372e-03, 4.022827e-02, 4.363818e-07, 1.642117e-04, 1.467709e-01
5, 1.028489e-02, 1.839522e+00, 6.408016e-06, 2.261313e-18, -2.361300e-02, 3.882300e+00, 7.175658e-02, 5.547368e-04, 4.539118e+00, -1.188882e-04, -6.574885e-03, 1.012109e-06, -3.160056e-15, 8.565197e-18, 1.754746e+02, -5.353248e-19, 2.148076e-18, -7.342706e-05, -2.246490e-19, -7.182839e-19, -2.453007e-18, 7.053511e-01, 2.676673e-01, 2.348550e-02, 2.129524e+00, 4.980417e-01, -1.305436e-04, -6.569748e-03, 7.170482e-02, 1.010845e-06, 5.543359e-04, 2.851504e-01
6, 1.380293e-02, 2.459007e+00, 9.752256e-06, 2.243367e-18, -2.458528e-02, 6.929374e+00, 1.143991e-01, 1.527019e-03, 4.544564e+00, -1.883811e-04, -1.547458e-02, 1.873970e-06, -4.222317e-15, 1.517883e-17, 1.731606e+02, -9.529121e-19, 2.222614e-18, 2.522031e-04, -3.264518e-19, -1.077426e-18, -5.529431e-18, 9.386597e-01, 3.379748e-01, 3.897184e-02, 2.130789e+00, 8.819225e-01, -2.122511e-04, -1.546251e-02, 1.143166e-01, 1.868922e-06, 1.525913e-03, 4.988825e-01
7, 1.795158e-02, 3.177545e+00, 1.497281e-05, 2.237438e-18, -2.669346e-02, 1.154135e+01, 1.683963e-01, 3.635201e-03, 4.556682e+00, -2.682811e-04, -3.245706e-02, 2.796126e-06, -5.459744e-15, 1.637145e-17, 1.692624e+02, -1.297654e-18, 3.835365e-18, 6.768979e-04, -4.613418e-19, -1.687290e-18, -4.987330e-18, 1.200898e+00, 4.100613e-01, 6.014533e-02, 2.133601e+00, 1.443343e+00, -3.158861e-04, -3.243172e-02, 1.682748e-01, 2.780468e-06, 3.632562e-03, 8.076253e-01
8, 2.284046e-02, 4.000766e+00, 2.298173e-05, 2.181110e-18, -3.079628e-02, 1.821297e+01, 2.330704e-01, 7.738014e-03, 4.577918e+00, -3.461554e-04, -6.179965e-02, 3.169996e-06, -6.868068e-15, 2.667137e-17, 1.630257e+02, -1.836367e-18, 2.859583e-18, 1.151844e-03, -6.331042e-19, -2.696953e-18, -5.041540e-18, 1.484414e+00, 4.824321e-01, 8.777830e-02, 2.138508e+00, 2.204975e+00, -4.384618e-04, -6.175128e-02, 2.329021e-01, 3.129421e-06, 7.732385e-03, 1.222805e+00
9, 2.859688e-02, 4.926666e+00, 3.460886e-05, 2.247178e-18, -3.809656e-02, 2.742453e+01, 3.070928e-01, 1.503829e-02, 4.610946e+00, -4.055021e-04, -1.077406e-01, 1.966590e-06, -8.452440e-15, 2.255141e-17, 1.537264e+02, -1.345088e-18, 3.577867e-18, 1.590274e-03, -7.219897e-19, -3.930233e-18, -5.421011e-18, 1.774295e+00, 5.537802e-01, 1.224085e-01, 2.146087e+00, 3.149798e+00, -5.769336e-04, -1.076558e-01, 3.068709e-01, 1.876422e-06, 1.502733e-02, 1.735848e+00
10, 3.536819e-02, 5.941771e+00, 5.023881e-05, 2.226003e-18, -5.012513e-02, 3.950867e+01, 3.890644e-01, 2.706687e-02, 4.658323e+00, -4.252158e-04, -1.727316e-01, -1.975057e-06, -1.020242e-14, 3.946496e-17, 1.409613e+02, -1.777075e-18, 5.746272e-18, 1.885633e-03, -8.425860e-19, -5.149960e-18, -3.306817e-18, 2.049068e+00, 6.233368e-01, 1.642701e-01, 2.156834e+00, 4.200404e+00, -7.252949e-04, -1.725944e-01, 3.887833e-01, -2.147714e-06, 2.704709e-02, 2.308117e+00
