#k, z, Conve11, Conve12, Conve13, Conve22, Conve23, Conve33, Produ11, Produ12, Produ13, Produ22, Produ23, Produ33, Tdiff11, Tdiff12, Tdiff13, Tdiff22, Tdiff23, Tdiff33, Pdiff11, Pdiff12, Pdiff13, Pdiff22, Pdiff23, Pdiff33, Vdiff11, Vdiff12, Vdiff13, Vdiff22, Vdiff23, Vdiff33, Pstra11, Pstra12, Pstra13, Pstra22, Pstra23, Pstra33, Dissi11, Dissi12, Dissi13, Dissi22, Dissi23, Dissi33, B11, B12, B13, B22, B23, B33
1, 8.295879e-04, -2.472175e-06, 4.858879e-09, 3.262823e-08, 5.623216e-08, -2.329598e-10, -3.572987e-10, 2.382876e-03, -2.718285e-07, -2.506850e-05, -7.962025e-08, 1.836513e-10, 1.412472e-10, 3.493163e-03, -1.104854e-06, -4.574699e-05, -9.483391e-05, 9.345240e-09, 5.174478e-07, -1.530589e-18, -6.911789e-19, -6.531786e+00, -2.114194e-18, -4.670320e-03, 8.347223e-01, 4.210469e+01, -1.301997e-02, -1.886303e-01, 7.614369e+00, 4.152808e-05, 6.967540e-03, 6.450663e-02, -3.627087e-04, 8.709567e+00, 3.562509e-01, 2.149891e-02, -8.382938e-01, 5.205571e+01, -1.084927e-02, -1.815549e-01, 8.062360e+00, -1.472335e-04, 5.944940e-03, -9.880641e+00, -2.534793e-03, 2.170634e+00, -9.183477e-02, 1.701736e-02, -2.548350e-03
2, 2.639493e-03, -5.078076e-05, 1.116181e-07, 9.742436e-07, 9.032523e-07, -6.660838e-09, -1.607436e-08, 4.393609e-02, -4.627830e-06, -7.512124e-04, -1.746744e-06, 4.407202e-09, 8.279236e-09, 7.180099e-02, -2.221781e-05, -1.363924e-03, -1.583874e-03, 2.934992e-07, 2.321350e-05, -4.828088e-18, -4.485886e-18, -8.132534e+00, -8.700722e-18, -6.395282e-03, 1.506041e+00, 5.310520e+01, -1.451274e-02, -5.600350e-01, 7.976272e+00, 1.092736e-04, 3.483781e-02, 1.348994e-01, -1.089587e-03, 8.328103e+00, 1.007318e+00, 6.361537e-03, -1.519305e+00, 5.202795e+01, -1.515863e-02, -3.821177e-01, 7.108677e+00, 7.917155e-05, 2.243680e-02, 1.327931e+00, -4.706562e-04, 1.553575e-02, 1.873326e+00, -3.338313e-06, -8.401957e-04
3, 4.777859e-03, -2.781904e-04, 6.095289e-07, 8.039210e-06, 4.593605e-06, -5.055238e-08, -1.939063e-07, 2.430465e-01, -2.333050e-05, -6.278977e-03, -9.176842e-06, 3.005925e-08, 1.203728e-07, 3.934021e-01, -1.131045e-04, -1.124144e-02, -8.046115e-03, 2.664152e-06, 2.789228e-04, -1.243444e-17, -2.900241e-18, -7.314297e+00, -1.187201e-17, -6.897749e-03, 2.271889e+00, 5.248634e+01, -1.199140e-02, -9.934771e-01, 6.081820e+00, 1.544248e-04, 8.753149e-02, 1.307439e-01, -1.862108e-03, 7.665294e+00, 1.628897e+00, 6.849040e-03, -2.300942e+00, 5.197075e+01, -1.356420e-02, -6.791797e-01, 6.173281e+00, 1.268010e-04, 6.021547e-02, 1.283066e+00, -4.263523e-04, 1.917086e-02, 1.529375e+00, -1.834074e-05, -1.457291e-03
4, 7.303384e-03, -9.269724e-04, 1.963380e-06, 3.681410e-05, 1.433368e-05, -2.102768e-07, -1.214250e-06, 8.464543e-01, -7.113364e-05, -2.906533e-02, -2.870542e-05, 1.015561e-07, 8.095278e-07, 1.311311e+00, -3.337195e-04, -5.140704e-02, -2.498586e-02, 1.411394e-05, 1.737471e-03, -1.754375e-17, -1.463673e-18, -6.169998e+00, -1.761829e-17, -7.615442e-03, 2.848850e+00, 5.069662e+01, -9.113362e-03, -1.473137e+00, 4.295189e+00, 1.532798e-04, 1.621218e-01, 2.182398e-02, -2.660685e-03, 6.733971e+00, 2.202637e+00, 7.551835e-03, -2.898830e+00, 5.169226e+01, -1.178691e-02, -1.022686e+00, 5.271781e+00, 1.571922e-04, 1.161197e-01, 1.184880e+00, -3.939523e-04, 3.301248e-02, 1.201016e+00, -5.309364e-05, -2.238891e-03
5, 1.028489e-02, -2.318391e-03, 4.552015e-06, 1.190060e-04, 3.363439e-05, -6.107289e-07, -5.117809e-06, 2.307633e+00, -1.592734e-04, -9.736949e-02, -6.731891e-05, 1.697177e-07, 3.535080e-06, 3.283941e+00, -6.592279e-04, -1.659764e-01, -5.832813e-02, 5.354737e-05, 7.277981e-03, -3.593791e-17, -5.963112e-18, -4.728628e+00, -2.406929e-17, -8.556667e-03, 3.194146e+00, 4.643432e+01, -5.844831e-03, -1.938433e+00, 2.676357e+00, 8.817117e-05, 2.501023e-01, -2.240438e-01, -3.452434e-03, 5.607278e+00, 2.717681e+00, 8.464572e-03, -3.267741e+00, 5.082722e+01, -9.805620e-03, -1.389314e+00, 4.430601e+00, 1.560931e-04, 1.871809e-01, 9.769487e-01, -3.146987e-04, 6.606613e-02, 9.050079e-01, -1.056889e-04, -3.386317e-03
6, 1.380293e-02, -4.670466e-03, 7.749536e-06, 2.992457e-04, 6.500832e-05, -1.343939e-06, -1.627719e-05, 5.359012e+00, -2.741607e-04, -2.644736e-01, -1.291979e-04, -1.686064e-07, 1.147543e-05, 6.636037e+00, -7.828253e-04, -4.172176e-01, -1.118201e-01, 1.545060e-04, 2.301463e-02, -4.120985e-17, -1.366095e-17, -3.080032e+00, -2.818926e-17, -9.780873e-03, 3.283699e+00, 3.823538e+01, -2.560536e-03, -2.279596e+00, 1.304006e+00, -3.528597e-05, 3.379140e-01, -6.365557e-01, -4.186024e-03, 4.435360e+00, 3.175895e+00, 9.625300e-03, -3.381357e+00, 4.893765e+01, -7.687177e-03, -1.729116e+00, 3.696909e+00, 1.154792e-04, 2.681307e-01, 6.608978e-01, -1.241175e-04, 1.228578e-01, 6.709785e-01, -1.506561e-04, -4.832396e-03
7, 1.795158e-02, -7.735894e-03, 8.344329e-06, 6.117958e-04, 1.090973e-04, -2.237918e-06, -4.145375e-05, 1.098552e+01, -3.424808e-04, -6.153527e-01, -2.113347e-04, -2.276182e-06, 2.961632e-05, 1.104454e+01, -1.184086e-04, -8.536818e-01, -1.847541e-01, 3.343621e-04, 5.841278e-02, -6.068822e-17, -2.688821e-17, -1.396664e+00, -3.285133e-17, -1.141717e-02, 3.121298e+00, 2.532287e+01, -1.138238e-04, -2.359816e+00, 2.636727e-01, -1.835777e-04, 4.093827e-01, -1.236031e+00, -4.794467e-03, 3.446077e+00, 3.595094e+00, 1.116579e-02, -3.241339e+00, 4.573322e+01, -5.626422e-03, -1.970991e+00, 3.138572e+00, 3.840956e-05, 3.529551e-01, 3.914145e-01, 2.488966e-04, 1.909408e-01, 5.351199e-01, -1.390442e-04, -5.130221e-03
8, 2.284046e-02, -1.046250e-02, -2.771306e-07, 1.038041e-03, 1.637989e-04, -2.470001e-06, -8.790715e-05, 2.014257e+01, -2.035982e-04, -1.261398e+00, -3.010724e-04, -9.217332e-06, 6.337151e-05, 1.501818e+01, 1.544776e-03, -1.449727e+00, -2.704258e-01, 4.895476e-04, 1.239184e-01, -6.219932e-17, -3.892286e-17, 5.874244e-02, -4.315125e-17, -1.361920e-02, 2.745032e+00, 8.766594e+00, 1.068533e-03, -2.077160e+00, -3.881178e-01, -3.036452e-04, 4.503187e-01, -2.024698e+00, -5.221764e-03, 2.914378e+00, 4.007164e+00, 1.331032e-02, -2.881803e+00, 4.139119e+01, -3.766320e-03, -2.046789e+00, 2.825605e+00, -6.013130e-05, 4.375089e-01, 5.219079e-01, 9.545439e-04, 2.305864e-01, 5.225507e-01, -6.958730e-05, 1.084340e-04
9, 2.859688e-02, -1.112088e-02, -2.462322e-05, 1.469917e-03, 2.209056e-04, -3.371377e-07, -1.600745e-04, 3.310690e+01, 3.535748e-04, -2.311204e+00, -3.791188e-04, -2.555865e-05, 1.157707e-04, 1.604807e+01, 3.462625e-03, -2.050102e+00, -3.535326e-01, 4.394065e-04, 2.265287e-01, -5.742206e-17, -3.447763e-17, 9.730731e-01, -4.423545e-17, -1.656070e-02, 2.224635e+00, -8.013707e+00, 1.914462e-03, -1.442147e+00, -6.719311e-01, -3.361534e-04, 4.532630e-01, -2.979046e+00, -5.464680e-03, 3.087338e+00, 4.447879e+00, 1.629041e-02, -2.363597e+00, 3.670832e+01, -1.974445e-03, -1.927242e+00, 2.792894e+00, -1.536433e-04, 5.220041e-01, 1.465010e+00, 2.265051e-03, 1.827297e-01, 6.289216e-01, -3.860864e-05, 1.910102e-02
10, 3.536819e-02, -8.191617e-03, -6.082104e-05, 1.721887e-03, 2.624201e-04, 5.924563e-06, -2.570153e-04, 4.866159e+01, 1.423185e-03, -3.813787e+00, -4.303625e-04, -5.490739e-05, 1.843271e-04, 1.197008e+01, 4.681521e-03, -2.387735e+00, -4.093759e-01, 2.736320e-04, 3.653817e-01, -1.479258e-17, -5.095750e-17, 1.094581e+00, -6.548581e-17, -2.037638e-02, 1.643877e+00, -2.045557e+01, 3.594684e-03, -6.109182e-01, -7.037931e-01, -2.902130e-04, 4.196581e-01, -4.047980e+00, -5.549519e-03, 4.072022e+00, 4.937685e+00, 2.018677e-02, -1.754973e+00, 3.276987e+01, -9.316033e-05, -1.647152e+00, 3.005424e+00, -2.192969e-04, 6.117972e-01, 3.366433e+00, 4.303852e-03, -4.079186e-04, 8.183984e-01, -4.772857e-05, 6.258796e-02
