#k, z, u, v, w, p, uu, vv, ww, pp, uv, uw, vw, g11, g12, g13, g21, g22, g23, g31, g32, g33, u_rms, v_rms, w_rms, p_rms, Rxx, Rxy, Rxz, Ryy, Ryz, Rzz, tke
1, 8.295879e-04, 1.493412e-01, 1.675337e-05, 1.171153e-18, -5.981108e-02, 2.560105e-02, 6.709217e-04, 1.379485e-07, 4.762077e+00, 3.187179e-06, -6.660979e-06, -3.542815e-10, -2.567230e-16, 4.777266e-18, 1.784626e+02, 3.208137e-20, 5.217723e-19, 2.186051e-02, 4.188843e-21, -4.241782e-20, 1.058620e-15, 5.735367e-02, 2.587203e-02, 3.698494e-04, 2.180210e+00, 3.294517e-03, 7.050649e-07, -6.653567e-06, 6.702414e-04, -3.657581e-10, 1.378100e-07, 1.982448e-03
2, 2.639493e-03, 4.746081e-01, 5.330275e-05, 2.341834e-18, -5.981126e-02, 2.585659e-01, 6.275615e-03, 4.184212e-06, 4.755060e+00, 3.209305e-05, -1.230001e-04, -6.315183e-09, -8.161332e-16, 1.769960e-17, 1.780957e+02, 9.359714e-20, 1.441650e-18, 2.166999e-02, 1.769670e-20, -1.758123e-19, 2.982234e-16, 1.822727e-01, 7.912782e-02, 2.036946e-03, 2.178604e+00, 3.327509e-02, 6.983885e-06, -1.228636e-04, 6.269255e-03, -6.514312e-09, 4.180008e-06, 1.977426e-02
3, 4.777859e-03, 8.580498e-01, 9.647588e-05, 2.338718e-18, -5.983480e-02, 8.451646e-01, 1.891354e-02, 3.520318e-05, 4.750208e+00, 1.045288e-04, -6.827441e-04, -3.293380e-08, -1.475165e-15, 2.916504e-17, 1.775952e+02, 5.082198e-20, 2.303930e-18, 2.156300e-02, 4.839337e-20, -4.798442e-19, -1.185846e-18, 3.295780e-01, 1.373708e-01, 5.908461e-03, 2.177493e+00, 1.087912e-01, 2.232584e-05, -6.819894e-04, 1.889439e-02, -3.396784e-08, 3.516778e-05, 6.386038e-02
4, 7.303384e-03, 1.309417e+00, 1.474318e-04, 2.335005e-18, -5.995302e-02, 1.968129e+00, 4.024658e-02, 1.638579e-04, 4.747182e+00, 2.424178e-04, -2.388916e-03, -1.066791e-07, -2.249767e-15, 4.239230e-17, 1.768036e+02, 8.724439e-20, 2.920570e-18, 2.143186e-02, 9.392801e-20, -9.613824e-19, -3.635465e-18, 5.028724e-01, 2.003924e-01, 1.274804e-02, 2.176796e+00, 2.532685e-01, 5.062121e-05, -2.386284e-03, 4.020588e-02, -1.100435e-07, 1.636929e-04, 1.468190e-01
5, 1.028489e-02, 1.839381e+00, 2.074896e-04, 2.316582e-18, -6.033040e-02, 3.882172e+00, 7.174040e-02, 5.533483e-04, 4.747151e+00, 4.762071e-04, -6.563402e-03, -2.667727e-07, -3.158728e-15, 5.767956e-17, 1.754633e+02, 4.247870e-19, 3.896352e-18, 2.126045e-02, 1.637421e-19, -1.842297e-18, -4.363914e-18, 7.053754e-01, 2.675527e-01, 2.342975e-02, 2.176779e+00, 4.982799e-01, 9.683584e-05, -6.556192e-03, 7.166794e-02, -2.753221e-07, 5.527905e-04, 2.852503e-01
6, 1.380293e-02, 2.458830e+00, 2.781090e-04, 2.300886e-18, -6.128855e-02, 6.929222e+00, 1.143787e-01, 1.523379e-03, 4.751732e+00, 8.476055e-04, -1.544833e-02, -5.628439e-07, -4.223699e-15, 8.716985e-17, 1.731529e+02, 1.270549e-19, 5.055093e-18, 2.102455e-02, 2.645919e-19, -2.923958e-18, -8.280594e-18, 9.387233e-01, 3.378412e-01, 3.888459e-02, 2.177801e+00, 8.823681e-01, 1.675055e-04, -1.543140e-02, 1.142634e-01, -5.813456e-07, 1.521840e-03, 4.990767e-01
7, 1.795158e-02, 3.177345e+00, 3.608263e-04, 2.268195e-18, -6.338231e-02, 1.154136e+01, 1.683763e-01, 3.626602e-03, 4.763013e+00, 1.412998e-03, -3.240479e-02, -1.051894e-06, -5.458741e-15, 1.045171e-16, 1.692606e+02, 3.964114e-19, 8.660065e-18, 2.068552e-02, 4.189637e-19, -4.778960e-18, -1.150610e-17, 1.201054e+00, 4.099159e-01, 6.001726e-02, 2.180324e+00, 1.444177e+00, 2.721257e-04, -3.236928e-02, 1.682069e-01, -1.087139e-06, 3.622932e-03, 8.080034e-01
8, 2.284046e-02, 4.000574e+00, 4.571017e-04, 2.203980e-18, -6.747045e-02, 1.821370e+01, 2.330604e-01, 7.719659e-03, 4.783515e+00, 2.246143e-03, -6.170923e-02, -1.781433e-06, -6.874547e-15, 1.262011e-16, 1.630325e+02, 3.134022e-19, 8.971773e-18, 2.018269e-02, 6.298749e-19, -6.620410e-18, -7.304812e-18, 1.484756e+00, 4.822853e-01, 8.760084e-02, 2.184888e+00, 2.206565e+00, 4.252664e-04, -6.164149e-02, 2.328266e-01, -1.840489e-06, 7.711824e-03, 1.223552e+00
9, 2.859688e-02, 4.926539e+00, 5.680024e-04, 2.181957e-18, -7.475476e-02, 2.742724e+01, 3.071070e-01, 1.500253e-02, 4.816013e+00, 3.433183e-03, -1.076061e-01, -2.716421e-06, -8.447507e-15, 1.424642e-16, 1.537433e+02, 1.550070e-19, 7.264155e-18, 1.942698e-02, 7.091783e-19, -9.337691e-18, -8.402567e-18, 1.774950e+00, 5.536439e-01, 1.221748e-01, 2.192060e+00, 3.152778e+00, 6.447521e-04, -1.074875e-01, 3.068001e-01, -2.800114e-06, 1.498725e-02, 1.737283e+00
10, 3.536819e-02, 5.941793e+00, 6.936440e-04, 2.157816e-18, -8.676429e-02, 3.951543e+01, 3.891158e-01, 2.700286e-02, 4.863172e+00, 5.045837e-03, -1.725611e-01, -3.792108e-06, -1.021148e-14, 1.743397e-16, 1.409874e+02, -3.049319e-19, 1.198043e-17, 1.828656e-02, 7.161664e-19, -1.236668e-17, -1.496199e-17, 2.050163e+00, 6.232183e-01, 1.639761e-01, 2.202328e+00, 4.205581e+00, 9.351253e-04, -1.723696e-01, 3.887287e-01, -3.881145e-06, 2.697525e-02, 2.310643e+00
11, 4.332422e-02, 7.019260e+00, 8.321384e-04, 1.954105e-18, -1.052756e-01, 5.450469e+01, 4.780846e-01, 4.549627e-02, 4.927116e+00, 7.088603e-03, -2.553141e-01, -5.399057e-06, -1.204944e-14, 1.682682e-16, 1.249824e+02, -1.555152e-18, 4.824700e-18, 1.655882e-02, 4.521038e-19, -1.176359e-17, -1.198857e-16, 2.286063e+00, 6.908234e-01, 2.129174e-01, 2.215967e+00, 5.228435e+00, 1.256716e-03, -2.550280e-01, 4.776116e-01, -5.437343e-06, 4.544955e-02, 2.875748e+00
