#k, z, Conve11, Conve12, Conve13, Conve22, Conve23, Conve33, Produ11, Produ12, Produ13, Produ22, Produ23, Produ33, Tdiff11, Tdiff12, Tdiff13, Tdiff22, Tdiff23, Tdiff33, Pdiff11, Pdiff12, Pdiff13, Pdiff22, Pdiff23, Pdiff33, Vdiff11, Vdiff12, Vdiff13, Vdiff22, Vdiff23, Vdiff33, Pstra11, Pstra12, Pstra13, Pstra22, Pstra23, Pstra33, Dissi11, Dissi12, Dissi13, Dissi22, Dissi23, Dissi33, B11, B12, B13, B22, B23, B33
1, 8.295879e-04, -3.389351e-06, 8.930817e-09, 4.487948e-08, 8.865658e-08, -2.728416e-10, -5.011601e-10, 2.377626e-03, 1.991986e-07, -2.462390e-05, -9.252193e-08, -2.750527e-09, 1.966769e-10, 3.485912e-03, 1.604545e-07, -4.573509e-05, -9.318101e-05, -6.363606e-09, 5.246240e-07, -2.793938e-18, -1.843144e-18, -6.510690e+00, 0.000000e+00, 8.623185e-03, 8.433868e-01, 4.213090e+01, 8.728293e-03, -1.880632e-01, 7.645696e+00, -9.931573e-06, 6.920432e-03, 6.301003e-02, 8.789630e-05, 8.696909e+00, 3.583656e-01, 3.616785e-03, -8.478802e-01, 5.208063e+01, 1.685983e-02, -1.810673e-01, 8.043505e+00, -1.858416e-04, 5.888639e-03, -9.880853e+00, -8.043292e-03, 2.179152e+00, -3.953622e-02, 1.241587e-02, -3.461035e-03
2, 2.639493e-03, -6.957667e-05, 1.919510e-07, 1.343438e-06, 1.492043e-06, -7.749910e-09, -2.257076e-08, 4.381852e-02, 3.662712e-06, -7.454790e-04, -1.990093e-06, -8.257429e-08, 1.163799e-08, 7.177121e-02, 1.548182e-06, -1.369734e-03, -1.572167e-03, -9.630194e-08, 2.370088e-05, -8.979396e-18, -8.510987e-18, -8.128565e+00, -2.236167e-18, 1.153108e-02, 1.529003e+00, 5.312946e+01, 1.049964e-02, -5.589617e-01, 7.963863e+00, -2.675263e-05, 3.473354e-02, 1.369746e-01, 2.601458e-04, 8.330927e+00, 1.023231e+00, -1.152533e-02, -1.543548e+00, 5.205699e+01, 1.088906e-02, -3.811456e-01, 7.119920e+00, -1.401024e-05, 2.236163e-02, 1.325102e+00, -1.242513e-04, 2.242942e-02, 1.865598e+00, -7.166323e-06, -2.150076e-03
3, 4.777859e-03, -3.806154e-04, 1.094253e-06, 1.107859e-05, 7.599585e-06, -5.982706e-08, -2.710652e-07, 2.425377e-01, 2.032036e-05, -6.254598e-03, -1.044976e-05, -6.919499e-07, 1.690808e-07, 3.932242e-01, -9.193743e-06, -1.129372e-02, -8.016614e-03, 3.635825e-07, 2.849880e-04, -1.459268e-17, -1.474515e-17, -7.339030e+00, -2.493665e-18, 1.182488e-02, 2.311065e+00, 5.251161e+01, 9.664575e-03, -9.915006e-01, 6.079038e+00, -4.145900e-05, 8.730944e-02, 1.337711e-01, 4.353907e-04, 7.691965e+00, 1.655179e+00, -1.182261e-02, -2.341483e+00, 5.199901e+01, 1.033371e-02, -6.778270e-01, 6.173008e+00, -2.497383e-05, 6.007542e-02, 1.282519e+00, -2.237101e-04, 2.170283e-02, 1.553174e+00, -1.448646e-05, -2.898769e-03
4, 7.303384e-03, -1.265120e-03, 3.863699e-06, 5.059669e-05, 2.359161e-05, -2.571998e-07, -1.681064e-06, 8.447947e-01, 7.075387e-05, -2.898311e-02, -3.251803e-05, -3.210791e-06, 1.127290e-06, 1.309700e+00, -1.017372e-04, -5.156018e-02, -2.489239e-02, 8.767782e-06, 1.768888e-03, -1.894982e-17, -1.940722e-17, -6.218938e+00, 6.505213e-19, 1.223878e-02, 2.899987e+00, 5.072252e+01, 8.727924e-03, -1.470194e+00, 4.294146e+00, -5.141652e-05, 1.617200e-01, 2.504803e-02, 6.039556e-04, 6.784362e+00, 2.238857e+00, -1.225776e-02, -2.952283e+00, 5.171969e+01, 9.700219e-03, -1.020644e+00, 5.271468e+00, -3.751254e-05, 1.158458e-01, 1.183635e+00, -4.031869e-04, 3.527901e-02, 1.236586e+00, -2.706710e-05, -4.650050e-03
5, 1.028489e-02, -3.155830e-03, 1.059181e-05, 1.630701e-04, 5.512438e-05, -7.917928e-07, -6.984610e-06, 2.303147e+00, 1.919041e-04, -9.712931e-02, -7.536203e-05, -1.080665e-05, 4.847346e-06, 3.277138e+00, -4.423004e-04, -1.660938e-01, -5.808225e-02, 5.347825e-05, 7.358545e-03, -1.971893e-17, -2.645453e-17, -4.798697e+00, -2.927346e-18, 1.270928e-02, 3.254622e+00, 4.646701e+01, 7.894948e-03, -1.934735e+00, 2.676733e+00, -5.430221e-05, 2.494584e-01, -2.216600e-01, 7.532960e-04, 5.677817e+00, 2.763203e+00, -1.279426e-02, -3.331528e+00, 5.085467e+01, 9.042918e-03, -1.386588e+00, 4.430411e+00, -5.309928e-05, 1.867201e-01, 9.741249e-01, -6.556629e-04, 6.758710e-02, 9.513122e-01, -4.272616e-05, -6.797311e-03
6, 1.380293e-02, -6.344873e-03, 2.460532e-05, 4.093936e-04, 1.061985e-04, -1.938838e-06, -2.186853e-05, 5.348666e+00, 4.402070e-04, -2.638495e-01, -1.415172e-04, -2.960760e-05, 1.542716e-05, 6.619053e+00, -1.248888e-03, -4.167400e-01, -1.113512e-01, 1.877790e-04, 2.308440e-02, -2.913793e-17, -2.103352e-17, -3.167615e+00, 1.734723e-18, 1.314305e-02, 3.350798e+00, 3.828587e+01, 7.484288e-03, -2.275857e+00, 1.305615e+00, -5.096050e-05, 3.370077e-01, -6.363557e-01, 8.761140e-04, 4.521160e+00, 3.229897e+00, -1.337990e-02, -3.452392e+00, 4.896717e+01, 8.487625e-03, -1.725960e+00, 3.696830e+00, -7.441561e-05, 2.674388e-01, 6.564100e-01, -9.605089e-04, 1.226485e-01, 7.270821e-01, -5.329116e-05, -8.902813e-03
7, 1.795158e-02, -1.049209e-02, 5.008132e-05, 8.374618e-04, 1.774811e-04, -4.027387e-06, -5.505090e-05, 1.096518e+01, 8.832111e-04, -6.139095e-01, -2.228299e-04, -6.983470e-05, 3.909881e-05, 1.101695e+01, -2.564470e-03, -8.518015e-01, -1.840453e-01, 4.726361e-04, 5.827984e-02, -2.436744e-17, -3.642919e-17, -1.498241e+00, 2.818926e-18, 1.347562e-02, 3.192445e+00, 2.539851e+01, 7.556807e-03, -2.357176e+00, 2.661171e-01, -3.981959e-05, 4.082738e-01, -1.239548e+00, 9.828731e-04, 3.541829e+00, 3.656662e+00, -1.399683e-02, -3.316328e+00, 4.576612e+01, 8.155225e-03, -1.967926e+00, 3.138463e+00, -1.008290e-04, 3.520044e-01, 3.854596e-01, -1.346885e-03, 1.877898e-01, 5.998711e-01, -5.336790e-05, -9.239764e-03
8, 2.284046e-02, -1.414507e-02, 8.887612e-05, 1.423528e-03, 2.651043e-04, -7.455236e-06, -1.160698e-04, 2.010912e+01, 1.565576e-03, -1.258438e+00, -2.964961e-04, -1.459678e-04, 8.248934e-05, 1.499159e+01, -3.830287e-03, -1.445694e+00, -2.694143e-01, 9.766181e-04, 1.233549e-01, -2.815538e-17, -5.160802e-17, -5.518323e-02, -6.396793e-18, 1.378765e-02, 2.817886e+00, 8.857804e+00, 7.148229e-03, -2.076653e+00, -3.856157e-01, -1.324767e-05, 4.491059e-01, -2.033464e+00, 1.113590e-03, 3.016504e+00, 4.075347e+00, -1.474046e-02, -2.957557e+00, 4.142401e+01, 7.848313e-03, -2.044437e+00, 2.825072e+00, -1.231731e-04, 4.362682e-01, 5.151921e-01, -1.940080e-03, 2.235497e-01, 5.946832e-01, -4.773595e-06, -3.280831e-03
9, 2.859688e-02, -1.488866e-02, 1.341374e-04, 2.018750e-03, 3.577977e-04, -1.230829e-05, -2.109639e-04, 3.306245e+01, 2.444765e-03, -2.305804e+00, -3.279954e-04, -2.747820e-04, 1.490301e-04, 1.604532e+01, -4.065185e-03, -2.044287e+00, -3.523547e-01, 1.626243e-03, 2.250942e-01, -3.476223e-17, -4.900594e-17, 8.454453e-01, -1.084202e-17, 1.452728e-02, 2.297425e+00, -7.939615e+00, 4.243169e-03, -1.443771e+00, -6.705298e-01, 6.298507e-06, 4.521025e-01, -2.994208e+00, 1.366588e-03, 3.196011e+00, 4.521639e+00, -1.589043e-02, -2.437516e+00, 3.673071e+01, 6.788403e-03, -1.925881e+00, 2.791310e+00, -1.324950e-04, 5.204537e-01, 1.458126e+00, -2.933204e-03, 1.714559e-01, 7.067586e-01, 1.394199e-04, 1.701157e-02
10, 3.536819e-02, -1.059547e-02, 1.667229e-04, 2.360931e-03, 4.328047e-04, -1.697478e-05, -3.394766e-04, 4.861484e+01, 3.383155e-03, -3.805064e+00, -2.865267e-04, -4.692211e-04, 2.371118e-04, 1.200604e+01, -3.633967e-03, -2.382889e+00, -4.089826e-01, 1.874413e-03, 3.628277e-01, -5.060514e-17, -7.025630e-17, 9.510615e-01, -3.903128e-18, 1.644186e-02, 1.715232e+00, -2.043345e+01, -1.868900e-03, -6.130053e-01, -7.041676e-01, -2.729188e-05, 4.187704e-01, -4.069665e+00, 1.929742e-03, 4.190284e+00, 5.015639e+00, -1.782777e-02, -1.825416e+00, 3.277130e+01, 4.325317e-03, -1.646265e+00, 3.002342e+00, -1.271618e-04, 6.099588e-01, 3.357068e+00, -4.682009e-03, -1.570862e-02, 8.994276e-01, 1.361325e-04, 6.203172e-02
