#k, z, u, v, w, p, nu_t, uu, vv, ww, pp, uv, uw, vw, g11, g12, g13, g21, g22, g23, g31, g32, g33, u_rms, v_rms, w_rms, p_rms, Rxx, Rxy, Rxz, Ryy, Ryz, Rzz, tke
1, 8.295879e-04, 1.347606e-01, -5.663151e-06, 2.861716e-18, -2.499402e-02, 1.537577e-06, 2.057547e-02, 4.954564e-04, 5.892242e-08, 3.982523e+00, -1.278127e-07, -3.216271e-06, -4.192395e-10, -2.310181e-16, -5.692061e-19, 1.610246e+02, -4.288104e-21, 6.606857e-19, -7.260500e-03, 1.124966e-21, 3.044025e-21, 2.587469e-15, 4.910387e-02, 2.224121e-02, 2.424019e-04, 1.994657e+00, 2.412663e-03, 6.341947e-07, -3.213298e-06, 4.950859e-04, -4.162824e-10, 5.887961e-08, 1.453904e-03
2, 2.639493e-03, 4.282217e-01, -1.802292e-05, 5.724275e-18, -5.065932e-02, 5.558974e-06, 2.077636e-01, 4.667646e-03, 1.805733e-06, 3.978985e+00, -1.526280e-06, -5.978655e-05, -7.849059e-09, -7.350416e-16, -3.089976e-18, 1.606729e+02, 1.508777e-20, 2.019327e-18, -7.175739e-03, 5.059037e-21, 1.143494e-20, 7.281705e-16, 1.560465e-01, 6.826653e-02, 1.341946e-03, 1.993287e+00, 2.436544e-02, 6.181489e-06, -5.973169e-05, 4.664152e-03, -7.793505e-09, 1.804420e-06, 1.451570e-02
3, 4.777859e-03, 7.741369e-01, -3.264945e-05, 5.715752e-18, -7.999685e-02, 1.142558e-05, 6.790337e-01, 1.416599e-02, 1.536277e-05, 3.980697e+00, -5.891673e-06, -3.345501e-04, -4.257403e-08, -1.328293e-15, -2.927346e-18, 1.602312e+02, -4.817500e-20, 3.835365e-18, -7.161400e-03, 1.338047e-20, 1.715242e-20, -5.651404e-18, 2.821657e-01, 1.189285e-01, 3.914322e-03, 1.992757e+00, 7.966643e-02, 1.935560e-05, -3.342454e-04, 1.415538e-02, -4.225364e-08, 1.535158e-05, 4.691858e-02
4, 7.303384e-03, 1.181408e+00, -4.999373e-05, 5.696032e-18, -1.157316e-01, 1.972467e-05, 1.581577e+00, 3.037776e-02, 7.243302e-05, 3.990672e+00, -1.617620e-05, -1.183486e-03, -1.403576e-07, -2.028075e-15, -4.662069e-18, 1.596084e+02, -1.471720e-19, 5.048316e-18, -7.164048e-03, 2.252578e-20, 5.251604e-20, -6.572976e-18, 4.307584e-01, 1.741585e-01, 8.499726e-03, 1.993506e+00, 1.856666e-01, 4.283130e-05, -1.182416e-03, 3.035499e-02, -1.391388e-07, 7.238019e-05, 1.080470e-01
5, 1.028489e-02, 1.660028e+00, -7.063504e-05, 5.675650e-18, -1.593935e-01, 3.113269e-05, 3.122654e+00, 5.463379e-02, 2.483807e-04, 4.013748e+00, -3.781917e-05, -3.303691e-03, -3.506096e-07, -2.847074e-15, -8.239937e-18, 1.586623e+02, -1.500307e-19, 8.294147e-18, -7.195890e-03, 4.777795e-20, 5.675121e-20, -6.938894e-18, 6.052887e-01, 2.335622e-01, 1.574026e-02, 1.996277e+00, 3.665962e-01, 7.934224e-05, -3.300730e-03, 5.459282e-02, -3.468544e-07, 2.481992e-04, 2.107186e-01
6, 1.380293e-02, 2.220763e+00, -9.533414e-05, 5.657757e-18, -2.118357e-01, 4.644400e-05, 5.587058e+00, 8.801307e-02, 6.965991e-04, 4.055175e+00, -8.075378e-05, -7.958722e-03, -7.202784e-07, -3.811838e-15, -7.806256e-18, 1.571495e+02, -3.347898e-19, 1.086913e-17, -7.269829e-03, 5.251604e-20, 1.287490e-19, -7.860466e-18, 8.088473e-01, 2.964500e-01, 2.636104e-02, 2.001763e+00, 6.546173e-01, 1.308136e-04, -7.951643e-03, 8.794705e-02, -7.101629e-07, 6.960891e-04, 3.716302e-01
7, 1.795158e-02, 2.874333e+00, -1.250927e-04, 5.587876e-18, -2.727838e-01, 6.661357e-05, 9.351396e+00, 1.311134e-01, 1.695917e-03, 4.118364e+00, -1.626568e-04, -1.724841e-02, -1.254142e-06, -4.935315e-15, 8.673617e-19, 1.546851e+02, -5.440069e-19, 1.227859e-17, -7.394017e-03, 5.939819e-20, 1.321371e-19, -1.208885e-17, 1.043032e+00, 3.618332e-01, 4.113330e-02, 2.010141e+00, 1.088514e+00, 1.966945e-04, -1.723317e-02, 1.310151e-01, -1.229622e-06, 1.694672e-03, 6.106118e-01
8, 2.284046e-02, 3.629744e+00, -1.611948e-04, 5.560348e-18, -3.401933e-01, 9.285048e-05, 1.488354e+01, 1.838755e-01, 3.707000e-03, 4.202265e+00, -3.132769e-04, -3.429452e-02, -1.847051e-06, -6.224405e-15, -1.387779e-17, 1.507246e+02, -6.827086e-19, 1.576159e-17, -7.563592e-03, -1.360547e-20, 3.693064e-19, -9.920450e-18, 1.306113e+00, 4.285036e-01, 6.081697e-02, 2.020690e+00, 1.706781e+00, 2.715815e-04, -3.426436e-02, 1.837377e-01, -1.793156e-06, 3.704270e-03, 9.471115e-01
9, 2.859688e-02, 4.491477e+00, -2.051783e-04, 5.462515e-18, -4.099633e-01, 1.268148e-04, 2.270757e+01, 2.455978e-01, 7.427121e-03, 4.300475e+00, -5.782905e-04, -6.306971e-02, -2.175635e-06, -7.699950e-15, -2.038300e-17, 1.446114e+02, -1.085896e-18, 1.505686e-17, -7.744202e-03, -1.154082e-19, -2.710505e-20, -7.697835e-18, 1.590770e+00, 4.952370e-01, 8.608905e-02, 2.031992e+00, 2.531644e+00, 3.431345e-04, -6.301436e-02, 2.454142e-01, -2.068545e-06, 7.421632e-03, 1.392240e+00
10, 3.536819e-02, 5.455664e+00, -2.585680e-04, 5.453198e-18, -4.765844e-01, 1.709651e-04, 3.331257e+01, 3.152401e-01, 1.382791e-02, 4.403640e+00, -1.018701e-03, -1.075325e-01, -1.463074e-06, -9.349021e-15, -1.994932e-17, 1.357355e+02, -1.285796e-18, 1.759118e-17, -7.828596e-03, -1.877237e-19, 6.776264e-20, -8.944668e-18, 1.882393e+00, 5.610866e-01, 1.174738e-01, 2.042797e+00, 3.544690e+00, 3.923026e-04, -1.074380e-01, 3.150050e-01, -1.272166e-06, 1.381765e-02, 1.936756e+00
