#k, z, Conve11, Conve12, Conve13, Conve22, Conve23, Conve33, Produ11, Produ12, Produ13, Produ22, Produ23, Produ33, Tdiff11, Tdiff12, Tdiff13, Tdiff22, Tdiff23, Tdiff33, Pdiff11, Pdiff12, Pdiff13, Pdiff22, Pdiff23, Pdiff33, Vdiff11, Vdiff12, Vdiff13, Vdiff22, Vdiff23, Vdiff33, Pstra11, Pstra12, Pstra13, Pstra22, Pstra23, Pstra33, Dissi11, Dissi12, Dissi13, Dissi22, Dissi23, Dissi33, B11, B12, B13, B22, B23, B33
1, 8.295879e-04, -7.436403e-07, 1.461791e-08, 6.518568e-09, 2.187938e-08, 1.017637e-11, -3.830614e-12, 1.035555e-03, 4.918492e-08, -9.486174e-06, -1.637926e-08, 4.164145e-10, -1.633725e-12, 1.063835e-03, 5.367392e-07, -9.057009e-06, -3.123058e-05, 3.589254e-09, 4.976167e-09, -1.406922e-18, -1.700842e-18, -3.291487e+00, -1.694066e-19, -6.116045e-03, 5.115538e-01, 3.085730e+01, 7.681339e-03, -9.158132e-02, 5.710742e+00, -1.204541e-05, 2.991836e-03, 4.655653e-02, 1.679681e-04, 5.548880e+00, 2.376140e-01, 1.848730e-02, -5.177016e-01, 3.851649e+01, 1.182214e-02, -8.861687e-02, 6.390598e+00, -1.046280e-04, 2.540325e-03, -7.610526e+00, -3.972262e-03, 2.254410e+00, -4.422729e-01, 1.246385e-02, -5.696329e-03
2, 2.639493e-03, -1.594226e-05, 2.931802e-07, 2.013460e-07, 4.379095e-07, 4.830672e-10, -1.805085e-10, 1.920961e-02, 9.492090e-07, -2.901026e-04, -3.828438e-07, 1.272204e-08, -1.053027e-10, 2.283728e-02, 1.073668e-05, -2.795221e-04, -6.297620e-04, 8.092157e-08, 2.345199e-07, -3.718475e-18, -9.242824e-18, -2.185346e+00, -2.439455e-18, -7.053071e-03, 9.158108e-01, 3.894947e+01, 8.781132e-03, -2.755500e-01, 6.055875e+00, -3.414833e-05, 1.523382e-02, 1.162573e-01, 5.019572e-04, 4.138634e+00, 6.720114e-01, 7.864287e-03, -9.411975e-01, 3.850686e+01, 8.641510e-03, -1.889540e-01, 5.705685e+00, -1.861756e-05, 9.805305e-03, 6.009346e-01, 6.529716e-04, 1.866122e+00, 1.021571e+00, 7.957790e-04, -1.995794e-02
3, 4.777859e-03, -8.931319e-05, 1.454521e-06, 1.692189e-06, 2.452244e-06, 4.766583e-09, -2.751598e-09, 1.071974e-01, 4.972745e-06, -2.461355e-03, -2.238235e-06, 1.080351e-07, -5.918709e-10, 1.280436e-01, 5.683094e-05, -2.348438e-03, -3.540823e-03, 3.800156e-07, 3.635490e-06, -5.617523e-18, -1.382358e-17, 1.159927e+00, -5.312591e-18, -5.436246e-03, 1.348071e+00, 3.872261e+01, 7.534385e-03, -4.986622e-01, 4.749075e+00, -5.347742e-05, 3.904808e-02, 1.547620e-01, 8.459217e-04, 2.303179e+00, 1.064228e+00, 6.804413e-03, -1.415140e+00, 3.853932e+01, 7.959539e-03, -3.420124e-01, 4.991766e+00, -3.489342e-05, 2.684398e-02, 5.733816e-01, 4.811162e-04, 3.301645e+00, 8.179916e-01, 1.350066e-03, -5.486144e-02
4, 7.303384e-03, -3.087132e-04, 4.317863e-06, 7.991458e-06, 8.362068e-06, 2.499275e-08, -2.274899e-08, 3.777380e-01, 1.534317e-05, -1.155982e-02, -7.765408e-06, 5.104892e-07, 1.473435e-09, 4.430651e-01, 1.833574e-04, -1.108991e-02, -1.212872e-02, 4.453283e-07, 3.055488e-05, -8.531316e-18, -2.049142e-17, 5.360911e+00, -1.843144e-18, -3.573083e-03, 1.607448e+00, 3.814590e+01, 6.015015e-03, -7.637294e-01, 3.496166e+00, -6.383162e-05, 7.418048e-02, 1.535745e-01, 1.192302e-03, -8.898133e-02, 1.384544e+00, 5.475637e-03, -1.748885e+00, 3.857959e+01, 7.181180e-03, -5.291065e-01, 4.303975e+00, -5.036515e-05, 5.300021e-02, 5.409939e-01, 2.205190e-04, 5.014649e+00, 5.645899e-01, 1.890019e-03, -1.202262e-01
5, 1.028489e-02, -8.220065e-04, 9.556512e-06, 2.732978e-05, 2.165151e-05, 9.292382e-08, -1.273199e-07, 1.048176e+00, 3.406791e-05, -3.940490e-02, -2.021924e-05, 1.763624e-06, 3.287200e-08, 1.181892e+00, 4.478084e-04, -3.793449e-02, -3.158712e-02, -2.491428e-06, 1.733177e-04, -1.121472e-17, -2.905662e-17, 1.014559e+01, -4.662069e-18, -1.826055e-03, 1.653216e+00, 3.666563e+01, 4.128356e-03, -1.058367e+00, 2.339036e+00, -5.819145e-05, 1.182788e-01, 1.058811e-01, 1.532597e-03, -3.031780e+00, 1.599021e+00, 4.035297e-03, -1.897216e+00, 3.849813e+01, 6.245878e-03, -7.488768e-01, 3.649994e+00, -6.136901e-05, 8.789942e-02, 5.042706e-01, -1.126057e-04, 6.726958e+00, 2.564334e-01, 2.211598e-03, -2.134472e-01
6, 1.380293e-02, -1.820432e-03, 1.693983e-05, 7.498528e-05, 4.643769e-05, 2.765323e-07, -5.416053e-07, 2.500903e+00, 5.583850e-05, -1.094586e-01, -4.323617e-05, 5.016020e-06, 2.134429e-07, 2.625968e+00, 8.903782e-04, -1.041461e-01, -6.829491e-02, -1.610168e-05, 7.457601e-04, -8.632960e-18, -5.193328e-17, 1.470729e+01, 1.843144e-18, -7.167153e-04, 1.498422e+00, 3.342003e+01, 1.839571e-03, -1.346397e+00, 1.324431e+00, -3.236160e-05, 1.668079e-01, 9.569041e-03, 1.862401e-03, -6.324465e+00, 1.682907e+00, 2.744092e-03, -1.834695e+00, 3.807139e+01, 5.116054e-03, -9.882993e-01, 3.057012e+00, -6.455041e-05, 1.300991e-01, 4.868986e-01, -4.848054e-04, 7.811045e+00, -1.180588e-01, 2.048203e-03, -2.988179e-01
7, 1.795158e-02, -3.427132e-03, 2.440032e-05, 1.721122e-04, 8.579131e-05, 6.983501e-07, -1.868419e-06, 5.334641e+00, 5.655587e-05, -2.622975e-01, -7.907021e-05, 1.247060e-05, 9.187929e-07, 4.973068e+00, 1.468120e-03, -2.393505e-01, -1.276988e-01, -5.628244e-05, 2.599781e-03, -1.042189e-17, -6.808790e-17, 1.768671e+01, 1.463673e-17, -6.672392e-04, 1.248587e+00, 2.739744e+01, -7.017592e-04, -1.560977e+00, 5.046730e-01, 1.229054e-05, 2.133465e-01, -1.329772e-01, 2.177677e-03, -9.501456e+00, 1.640043e+00, 1.885963e-03, -1.579344e+00, 3.700813e+01, 3.808957e-03, -1.217226e+00, 2.567494e+00, -5.892222e-05, 1.773127e-01, 5.674670e-01, -8.327638e-04, 7.339679e+00, -5.506410e-01, 1.245426e-03, -2.921209e-01
8, 2.284046e-02, -5.444796e-03, 2.830573e-05, 3.346284e-04, 1.386730e-04, 1.528402e-06, -5.440934e-06, 1.033406e+01, -2.082680e-05, -5.586295e-01, -1.258481e-04, 2.799178e-05, 3.059766e-06, 7.989610e+00, 1.985825e-03, -4.665476e-01, -2.103733e-01, -1.513030e-04, 7.647884e-03, 2.209062e-18, -6.201636e-17, 1.760124e+01, 5.312591e-18, -1.533597e-03, 1.089415e+00, 1.797598e+01, -3.081412e-03, -1.613611e+00, -7.456508e-02, 7.175188e-05, 2.507018e-01, -3.191196e-01, 2.463632e-03, -1.187561e+01, 1.522299e+00, 1.625210e-03, -1.205405e+00, 3.508978e+01, 2.428821e-03, -1.388939e+00, 2.234523e+00, -4.570328e-05, 2.272654e-01, 8.961881e-01, -1.109909e-03, 4.475446e+00, -9.974270e-01, 8.422932e-05, -8.489764e-02
9, 2.859688e-02, -7.071544e-03, 2.721080e-05, 5.488033e-04, 1.963793e-04, 2.848569e-06, -1.375630e-05, 1.823179e+01, -2.750722e-04, -1.073753e+00, -1.749206e-04, 5.765838e-05, 8.425853e-06, 1.061430e+01, 2.104275e-03, -7.691873e-01, -3.069746e-01, -3.416024e-04, 1.954199e-02, 5.285486e-18, -9.107298e-17, 1.370681e+01, 1.138412e-17, -2.719653e-03, 1.188866e+00, 5.764121e+00, -4.716741e-03, -1.429782e+00, -3.990251e-01, 1.506796e-04, 2.727851e-01, -5.530435e-01, 2.701167e-03, -1.278312e+01, 1.429324e+00, 1.879668e-03, -8.244934e-01, 3.240892e+01, 1.146341e-03, -1.452982e+00, 2.103683e+00, -2.409387e-05, 2.792445e-01, 1.655318e+00, -1.359924e-03, -8.965978e-01, -1.380730e+00, -9.520042e-04, 3.774776e-01
10, 3.536819e-02, -6.947529e-03, 2.838471e-05, 7.459499e-04, 2.424198e-04, 4.203497e-06, -3.080223e-05, 2.917283e+01, -8.463717e-04, -1.876219e+00, -2.108301e-04, 1.091871e-04, 1.989314e-05, 1.101279e+01, 1.468339e-03, -1.057308e+00, -3.954395e-01, -6.559090e-04, 4.430821e-02, -5.339696e-18, -8.456777e-17, 6.702251e+00, 2.320193e-17, -3.670090e-03, 1.567459e+00, -6.890077e+00, -5.116880e-03, -1.002445e+00, -5.104313e-01, 2.629484e-04, 2.765112e-01, -8.493261e-01, 2.908498e-03, -1.194227e+01, 1.472172e+00, 2.413398e-03, -5.337822e-01, 2.951126e+01, 1.288535e-04, -1.379297e+00, 2.185454e+00, 1.481987e-05, 3.357352e-01, 2.941914e+00, -1.743654e-03, -7.797442e+00, -1.619606e+00, -1.559489e-03, 1.018812e+00
